fecha,dia_semana,hora,categoria,producto,cantidad,precio_unitario,costo_unitario,venta_total,costo_total,metodo_pago,margen,margen_pct,mes
2024-10-01,Mar,14:30,Almuerzo,Cazuela de vacuno,1,6500,2800,6500,2800,Efectivo,3700,56.9,Oct 2024
2024-10-01,Mar,13:00,Postres,Leche asada,3,2200,700,6600,2100,Débito,4500,68.2,Oct 2024
2024-10-01,Mar,12:00,Almuerzo,Cazuela de vacuno,1,6500,2800,6500,2800,Débito,3700,56.9,Oct 2024
2024-10-01,Mar,14:00,Almuerzo,Cazuela de vacuno,3,6500,2800,19500,8400,Débito,11100,56.9,Oct 2024
2024-10-01,Mar,18:00,Bebidas,Jugo natural,2,2200,600,4400,1200,Débito,3200,72.7,Oct 2024
2024-10-01,Mar,12:30,Almuerzo,Cazuela de vacuno,2,6500,2800,13000,5600,Efectivo,7400,56.9,Oct 2024
2024-10-01,Mar,13:00,Almuerzo,Merluza frita,1,7200,2900,7200,2900,Débito,4300,59.7,Oct 2024
2024-10-01,Mar,21:30,Cena,Lomo a lo pobre,1,10800,4100,10800,4100,Débito,6700,62.0,Oct 2024
2024-10-01,Mar,13:30,Bebidas,Jugo natural,1,2200,600,2200,600,Débito,1600,72.7,Oct 2024
2024-10-02,Mié,15:00,Bebidas,Cerveza artesanal,1,3800,1100,3800,1100,Débito,2700,71.1,Oct 2024
2024-10-02,Mié,19:00,Cena,Cordero patagónico,1,12500,5200,12500,5200,Débito,7300,58.4,Oct 2024
2024-10-02,Mié,22:30,Bebidas,Agua mineral,1,1200,350,1200,350,Débito,850,70.8,Oct 2024
2024-10-02,Mié,14:30,Almuerzo,Merluza frita,3,7200,2900,21600,8700,Crédito,12900,59.7,Oct 2024
2024-10-02,Mié,13:00,Postres,Kuchen de murta,3,2800,900,8400,2700,Débito,5700,67.9,Oct 2024
2024-10-02,Mié,13:30,Almuerzo,Plateada al horno,2,8900,3500,17800,7000,Crédito,10800,60.7,Oct 2024
2024-10-02,Mié,20:00,Postres,Kuchen de murta,3,2800,900,8400,2700,Débito,5700,67.9,Oct 2024
2024-10-02,Mié,12:00,Almuerzo,Cazuela de vacuno,2,6500,2800,13000,5600,Débito,7400,56.9,Oct 2024
2024-10-02,Mié,12:30,Almuerzo,Pastel de choclo,1,5800,2200,5800,2200,Débito,3600,62.1,Oct 2024
2024-10-02,Mié,22:00,Cena,Empanadas (3 und.),2,4500,1600,9000,3200,Efectivo,5800,64.4,Oct 2024
2024-10-02,Mié,20:30,Postres,Leche asada,3,2200,700,6600,2100,Débito,4500,68.2,Oct 2024
2024-10-02,Mié,18:30,Bebidas,Cerveza artesanal,1,3800,1100,3800,1100,Crédito,2700,71.1,Oct 2024
2024-10-02,Mié,14:30,Almuerzo,Plateada al horno,1,8900,3500,8900,3500,Débito,5400,60.7,Oct 2024
2024-10-03,Jue,14:00,Almuerzo,Plateada al horno,3,8900,3500,26700,10500,Débito,16200,60.7,Oct 2024
2024-10-03,Jue,13:30,Almuerzo,Pastel de choclo,3,5800,2200,17400,6600,Crédito,10800,62.1,Oct 2024
2024-10-03,Jue,16:00,Bebidas,Jugo natural,3,2200,600,6600,1800,Débito,4800,72.7,Oct 2024
2024-10-03,Jue,20:30,Postres,Kuchen de murta,3,2800,900,8400,2700,Débito,5700,67.9,Oct 2024
2024-10-03,Jue,22:00,Cena,Cordero patagónico,2,12500,5200,25000,10400,Efectivo,14600,58.4,Oct 2024
2024-10-03,Jue,16:00,Postres,Leche asada,3,2200,700,6600,2100,Crédito,4500,68.2,Oct 2024
2024-10-03,Jue,16:00,Postres,Kuchen de murta,1,2800,900,2800,900,Débito,1900,67.9,Oct 2024
2024-10-03,Jue,14:00,Almuerzo,Plateada al horno,3,8900,3500,26700,10500,Débito,16200,60.7,Oct 2024
2024-10-03,Jue,12:30,Almuerzo,Cazuela de vacuno,2,6500,2800,13000,5600,Efectivo,7400,56.9,Oct 2024
2024-10-04,Vie,13:00,Bebidas,Cerveza artesanal,3,3800,1100,11400,3300,Débito,8100,71.1,Oct 2024
